stop_id,stop_code,stop_name,stop_lat,stop_lon
most_Osobowicki,51.1330231600,17.0261839300
Rynek,51.1098340800,17.0265935000
Szkocka,51.1091444900,16.9685528800
Przyjaźni,51.0687684000,17.0047434500
DWORZEC_NADODRZE,51.1242294000,17.0350092500
Okrzei,51.1064282400,17.0984639600
Śliczna,51.0850864300,17.0349837600
Działdowska,51.1331716300,17.1054383500
SPISKA_(Ośrodek_sportu),51.0835642600,17.0299742900
MOKRY_DWÓR,51.0710700000,17.1237490000
Bogusławice,50.9978560000,17.1049720000
Ratyń_-_skrzyżowanie,51.1306630400,16.8475935500
Kutrzeby,51.0523518500,17.0194239600
Metalowców,51.1322485600,16.9563613100
Kotowice_-_Cmentarna,51.0226600000,17.2333630000
Buforowa,51.0704560800,17.0539575000
Paprotna,51.1477521500,17.0205392900
Małopanewska,51.1238940800,16.9874667700
Nowy_Dwór,51.1125872800,16.9599295600
Kolista,51.1327370900,16.9738810400
pl._Srebrny,51.0984416500,16.9961696100
Bujwida,51.1133642500,17.0667942100
Nyska,51.0830575600,17.0544017000
Kiełczówek,51.1194904100,17.1792128500
Kajdasza,51.0535006770,17.0580351760
DWORZEC_NADODRZE,51.1243901500,17.0333860400
Kamiennogórska_(Ośrodek_dla_niewidomych),51.1425993300,16.8997371700
Odolanowska,51.1662150000,17.1283820000
Mielecka,51.0896265800,17.0004196200
Orlińskiego,51.1221205200,16.9719204400
Zwycięska,51.0596891500,17.0056594100
Kościelna,51.0638818600,16.9838994700
Kadłubka,51.0764765300,16.9686605800
Uniwersytet_Ekonomiczny,51.0891316000,17.0284641700
Mirków_-_Stadion,51.1675704100,17.1644461700
Pereca,51.1011171600,17.0080775100
JERZMANOWO_(Cmentarz_II),51.1231926300,16.8827889600
Kętrzyńska,51.1309653600,17.0740608700
Dobroszycka,51.1513435300,17.1266710100
Wejherowska,51.1291718500,16.9853284800
KOZANÓW,51.1374778700,16.9687557600
Hala_Orbita,51.1322068200,16.9897592300
Dworska,51.1437776400,16.9529776600
pl._Srebrny,51.0984093200,16.9954765200
Starodębowa,51.1673054900,17.1059007000
Kmieca,51.1052327000,17.1457403400
Królewska,51.1555831300,17.1290185700
Ołtaszyn,51.0568003800,17.0222771800
PARK_POŁUDNIOWY,51.0736373900,17.0124948200
Trzmielowicka,51.1409576600,16.8546078700
