variant_id,stop_id
603285,1200
603285,2006
603285,743
603285,747
603285,739
603285,3415
603285,2828
603285,1819
603286,1200
603286,2006
603286,743
603286,1084
603286,747
603286,739
603286,3415
603286,2828
603286,1819
603287,1200
603287,2006
603287,743
603287,1084
603287,747
603287,739
603287,3415
603287,2828
603287,1819
603288,616
603288,1248
603288,711
603288,2279
603288,740
603288,748
603289,743
603289,1084
603289,747
603289,739
603289,3415
603289,2828
603289,1819
603290,616
603290,1248
603290,711
603290,2279
603290,740
603290,748
603292,3421
603292,1977
603292,2074
603292,1702
603292,2076
603292,3064
603292,2680
603292,3067
603293,3421
603293,1977
603293,1979
603293,1702
603293,2756
603293,2076
603293,3064
603293,2680
603293,3067
603294,1977
603294,1979
603294,1702
603295,3421
603295,1977
603295,2074
603295,1702
603296,2074
603296,1702
603297,711
603297,2074
603297,1702
603298,1081
603298,2076
603298,3064
603298,2680
603298,3067
603299,3421
603299,3529
603299,1977
603299,2074
603299,1702
603299,2076
603299,2680
603299,3067
603300,3529
603300,1977
603300,2074
603300,1702
603300,2076
603300,2680
603300,3067
603301,3244
603301,3529
603301,1977
603301,2073
603301,1979
603301,1702
603301,2076
603301,2680
603301,3067
603302,3245
603302,3415
603303,3066
603303,1082
603303,2075
603303,1978
603303,3529
603303,3415
603304,3066
603304,1082
603304,2075
603304,1978
603304,3529
603305,3066
603305,2077
603305,1082
603305,2075
603305,1978
603305,3529
603306,3066
603306,2077
603306,1082
603306,2075
603306,1978
603306,3529
603306,3415
603307,3066
603307,2077
603307,1082
603307,2075
603307,1978
603307,3529
603307,3415
603308,3066
603308,1082
603308,1703
603308,2073
603308,1979
603308,2075
603308,1978
603308,3529
603308,3415
603309,3066
603309,1082
603309,2073
603309,1979
603309,2075
603309,1978
603309,3415
603310,3066
603310,1082
603310,2075
603310,3529
603310,3415
603311,3066
603311,1082
603312,3066
603312,1082
603313,711
603313,3422
603313,770
603313,2929
603313,1091
603314,711
603314,3422
603314,770
603314,2929
603316,2928
603316,771
603316,3415
603316,2828
603317,2928
603317,771
603318,771
603318,3415
603318,2828
603319,1090
603319,2928
603319,771
603319,3415
603319,2828
603320,1090
603320,2928
603320,771
603320,3415
603320,2828
603321,711
603321,3422
603321,770
603321,2929
603321,3027
603322,3026
603322,771
603322,3415
603322,2828
603323,1087
603323,747
603323,739
603323,3415
603323,2828
603323,1819
603324,616
603324,1248
603324,711
603324,2279
603324,740
603324,748
603325,616
603325,1248
603325,711
603325,2279
603325,740
603325,748
603325,1084
603326,616
603326,1248
603326,711
603326,2279
603326,740
603326,748
603327,616
603327,1248
603327,711
603327,2279
603327,740
603327,748
603328,1087
603328,747
603328,739
603328,3415
603328,2828
603328,1819
603329,1087
603329,1084
603329,747
603329,739
603329,3415
603329,2828
603329,1819
603330,1087
603330,747
603330,739
603330,3415
603330,2828
603330,1819
603331,2782
603331,2929
603332,3420
603332,2782
603332,3026
603332,2928
603332,777
603333,3420
603333,2782
603334,2782
603335,2782
603335,2929
603336,2114
603336,776
603336,2781
603336,3415
603337,2114
603337,776
603337,2781
603337,3415
603338,2114
603338,776
603338,2781
603338,3415
603339,2114
603339,776
603339,2781
603340,2114
603340,2781
603340,3415
603341,2114
603341,2781
603341,3415
603342,2781
603342,3415
603343,2781
603343,3415
603344,2781
603344,3415
603345,2305
603345,3034
603345,3036
603345,1979
603345,1702
603345,3060
603345,3031
603346,3061
603346,1703
603346,1731
603346,3037
603346,3035
603346,2274
603347,711
603347,770
603347,2929
603347,3027
603348,2928
603348,771
603348,3415
603348,2828
603349,748
603350,1087
603350,3415
603351,3421
603351,2305
603351,3034
603351,3036
603351,1979
603351,1702
603351,3060
603351,3031
603352,3421
603352,2305
603352,3034
603352,3033
603352,3031
603352,1722
603353,2305
603353,3034
603353,3033
603353,3031
603353,1722
603354,2305
603354,3034
603354,3033
603354,3031
603354,1722
603355,3061
603355,1703
603355,1731
603355,3037
603355,3035
603355,2274
603356,3061
603356,1703
603356,1731
603356,3037
603356,3035
603356,2274
603356,3415
603357,3061
603357,1703
603357,1731
603357,3037
603357,3035
603357,2274
603357,3420
603358,3030
603358,3032
603358,3035
603358,2274
603358,3415
603359,3061
603360,2928
603360,771
603360,3415
603360,2828
603361,711
603361,770
603361,2929
603361,3027
603362,2928
603362,771
603362,3415
603362,2828
603363,1297
603363,1295
603363,2928
603363,771
603363,3415
603363,2828
603364,3415
603367,742
603367,748
603368,742
603368,748
603369,748
603370,748
603371,1087
611151,1249
611151,27
611152,26
611152,3133
611845,1249
611845,27
611846,26
611846,3133
613952,1501
613952,1580
613952,1397
613953,1398
613953,1581
613953,1502
613954,1501
613954,1580
613954,1397
613955,1398
613955,2820
613955,1581
613955,1502
613956,1680
613956,2034
613956,1417
613956,3521
613956,1397
613957,1398
613957,3522
613957,1418
613957,2031
613957,1868
613958,1680
613958,1614
613958,2817
613958,1497
613959,1497
613959,2818
613959,1459
613959,1868
613960,1582
613960,1614
613960,2817
613960,1531
613961,1542
613961,1579
613961,1583
613962,1528
613962,1748
613962,1655
613962,1547
613962,3524
613962,2820
613962,1541
613962,1579
613962,1585
613963,1584
613963,1578
613963,1544
613963,3523
613963,1548
613963,1747
613964,1582
613964,1614
613964,1543
613964,1397
613965,1398
613965,1541
613965,1615
613965,1583
613966,1582
613966,1578
613966,1544
613967,1532
613967,2818
613967,1583
613968,1548
613968,1420
613968,1581
613968,1502
613968,1572
613969,1573
613969,1501
613969,1580
613969,1419
613969,1547
613970,1542
613970,1419
613970,1654
613970,1749
613971,1748
613971,1655
613971,1420
613971,1543
613972,1746
613972,1420
613972,3521
613972,2820
613972,1497
613973,1497
613973,2818
613973,3523
613973,1419
613973,1471
613973,1749
613974,1751
613974,1868
613975,1680
613975,1750
613976,1746
613976,1420
613976,1581
613976,1502
613976,1572
613977,1573
613977,1501
613977,1580
613977,1616
613977,1419
613977,1471
613977,1749
613978,1497
613978,2818
613978,2031
613978,1495
613979,1897
613979,2032
613979,1651
613979,2817
613979,1497
613980,1897
613980,2034
613980,1417
613980,1581
613981,1580
613981,1418
613981,2031
613981,1897
613982,1629
613982,2034
613982,1417
613982,1496
613982,1604
613983,1603
613983,1497
613983,1441
613983,1418
613983,2033
613983,1628
613984,1407
613984,2818
613984,1617
613984,1581
613984,1502
613984,1572
613985,1573
613985,1501
613985,1580
613985,2817
613985,1531
613986,1542
613986,3523
613986,1419
613986,1547
613987,1548
613987,1420
613987,3521
613987,1541
613988,1542
613988,2819
613988,3523
613988,1418
613988,2031
613988,1897
613989,1897
613989,2034
613989,1417
613989,3521
613989,2820
613989,1541
613990,1398
613990,3522
613990,1418
613990,2033
613990,1570
613990,1628
613991,1629
613991,2034
613991,1417
613991,3521
613991,1397
613992,1746
613992,1655
613992,1420
613992,1581
613992,1573
613993,1573
613993,1501
613993,1580
613993,1419
613993,1654
613993,1747
613994,1581
613994,1502
613995,1501
613995,1580
613995,1544
613997,1398
613998,1397
614000,1398
614001,1501
614001,1580
614002,1397
614003,1581
614003,1502
614004,1680
614004,2034
614004,1417
614004,3521
614004,1397
614005,1398
614005,3522
614005,1418
614005,2031
614005,1868
614011,1868
614012,1585
614012,1868
614015,2034
614015,1417
614015,3521
614015,1397
614017,1680
614019,1398
614019,3522
614019,1418
614019,2031
614021,1680
614021,1614
614021,2817
614021,1497
614024,1603
614024,1497
614024,2818
614024,1459
614024,1868
614026,1680
614027,1869
614035,1582
614035,1614
614035,2817
614035,1531
614035,1408
614039,1409
614039,1542
614039,1579
614039,1583
614040,1542
614040,1579
614041,1531
614043,1587
614048,1586
614049,1582
614049,1614
614049,2817
614050,1586
614051,1582
614051,2817
614056,1528
614056,1748
614056,1655
614056,1547
614056,3524
614056,2820
614056,1541
614056,1579
614056,1585
614060,1528
614060,1748
614060,1655
614060,1547
614060,3524
614060,2820
614060,1541
614060,1579
614060,1585
614066,1584
614066,1578
614066,1544
614066,3523
614066,1548
614066,1747
614070,3523
614070,1548
614070,1747
614075,1398
614075,1541
614075,1615
614075,1583
614084,1582
614086,1587
614088,1531
614089,1531
614091,1532
614091,2818
614091,1583
614092,1532
614092,2818
614092,1583
614093,1586
614094,1586
614099,1548
614099,1420
614099,1502
614099,1572
614101,1581
614101,1502
614101,1572
614102,1573
614102,1501
614102,1580
614102,1419
614102,1547
614103,1573
614103,1501
614103,1580
614105,1573
614105,1501
614105,1580
614108,1502
614108,1572
614109,1548
614109,1420
614109,1581
614109,1502
614109,1572
614112,1548
614112,1420
614112,1502
614112,1572
614114,1581
614114,1502
614114,1572
614115,1419
614115,1547
614119,1548
614119,1420
614120,1542
614125,1541
614132,1751
614133,1748
614133,1655
614133,1420
614133,1543
614133,1410
614141,1584
614141,1420
614141,3521
614141,2820
614141,1497
614142,1603
614142,1497
614142,2818
614142,3523
614142,1419
614142,1471
614142,1749
614143,3522
614143,1419
614143,1471
614143,1749
614144,1584
614144,1472
614144,1749
614147,1746
614153,1751
614154,1868
614155,1680
614155,1750
614157,1750
614158,1680
614159,1746
614159,1420
614159,1581
614159,1502
614159,1572
614162,1581
614162,1502
614162,1572
614164,1472
614164,1749
614165,1581
614165,1502
614165,1572
614166,1573
614166,1501
614166,1580
614167,1746
614169,1573
614169,1501
614169,1580
614170,1581
614170,1502
614170,1572
614171,1897
614172,1897
614172,1651
614172,2817
614174,1897
614174,1651
614174,2817
614174,1497
614178,1897
614179,1495
614180,1495
614181,1495
614183,1897
614186,1580
614187,1580
614187,1418
614187,2031
614187,1495
614188,1580
614188,1418
614188,2031
614189,1897
614189,2034
614189,1417
614189,1581
614191,1418
614191,2031
614191,1897
614192,1581
614193,1581
614195,1573
614198,1897
614199,1897
614203,1581
614207,1495
614209,1580
614211,1897
614213,2034
614213,1417
614213,1496
614213,1604
614218,2033
614218,1628
614219,1629
614219,2031
614220,1496
614220,1604
614221,2033
614221,1628
614226,1603
614226,1497
614227,2820
614227,1496
614227,1604
614228,2548
614231,1573
614231,1501
614231,1580
614231,2817
614232,1573
614232,1501
614232,1580
614234,2820
614234,1581
614234,1502
614234,1572
614235,2818
614235,1581
614235,1502
614235,1572
614236,1407
614237,1581
614237,1502
614237,1572
614238,1578
614238,2817
614238,1531
614240,1407
614240,2818
614240,1617
614240,1581
614240,1502
614240,1572
614242,1531
614246,1573
614246,1501
614246,1580
614247,1542
614248,1548
614248,1420
614248,3521
614251,1541
614255,1548
614255,1420
614255,3521
614256,3522
614256,1419
614256,1547
614260,1897
614260,2034
614260,1417
614260,3521
614260,2820
614260,1541
614262,1897
614262,2034
614262,1417
614262,3521
614262,2820
614263,2820
614263,1541
614264,1531
614264,1408
614265,3523
614265,1418
614265,2031
614265,1897
614266,1409
614266,1542
614266,3523
614266,1418
614266,2031
614266,1897
614269,1897
614269,2034
614269,1417
614269,3521
614270,1407
614272,1398
614272,3522
614272,1418
614275,2033
614275,1570
614275,1628
614276,1628
614277,2033
614277,1570
614277,1628
614278,1629
