indeks nazwa x y
362 Hala_Orbita 51.1322 16.9898
363 Dworska 51.1438 16.953
364 pl._Srebrny 51.0984 16.9955
365 Starodębowa 51.1673 17.1059
366 Kmieca 51.1052 17.1457
367 Królewska 51.1556 17.129
368 Ołtaszyn 51.0568 17.0223
369 PARK_POŁUDNIOWY 51.0736 17.0125
370 Trzmielowicka 51.141 16.8546
371 Św._Katarzyna_-_szkoła 51.0255 17.1148
372 ZAWALNA 51.1343 17.0372
373 Ojca_Beyzyma 51.0906 16.9923
374 Hartmana 51.16 16.8772
375 Skarżyńskiego 51.1092 16.9042
376 PILCZYCE 51.1367 16.948
377 Kamień_Jantarowa 51.1675 17.2264
378 Iwiny_-_Kolejowa 51.0397 17.0741
379 Nowowiejska 51.1242 17.045
380 Łużycka 51.1362 17.0164
381 Siechnice_-_Staszica 51.0222 17.1606
382 Gajowa 51.0919 17.04
383 C.H._Korona 51.1404 17.0941
384 ŻAR 51.1498 16.8343
385 JAKSONOWICE 51.2495 17.2451
386 OSOBOWICE 51.1375 16.9937
387 Łosice 51.2168 17.2052
388 Kamienna_(Widna) 51.0863 17.0449
389 Wrocławski_Park_Przemysłowy 51.1125 16.9934
390 BROCHÓW 51.059 17.0865
391 Gromadzka 51.1292 16.8549
392 Górnicza 51.1399 16.9594
393 Polanowicka 51.1701 17.0237
394 Na_Niskich_Łąkach 51.0963 17.0566
395 EPI 51.0982 17.0305
396 Stalowa 51.0996 17.0007
397 Tunelowa 51.0649 17.0655
398 Tczewska 51.1306 17.1119
399 Krępicka 51.1514 16.8562
400 Piramowicza 51.1031 17.0957
401 DW._ŚWIEBODZKI 51.1085 17.0177
402 KAMIEŃSKIEGO_(pętla) 51.1507 17.0432
403 Karłowicza 51.117 17.0865
404 Na_Niskich_Łąkach 51.0967 17.0577
405 Inżynierska 51.0945 16.992
406 Żerniki_Wr._-_Orla 51.0359 17.0579
407 Mielecka 51.0898 17.0002
408 Spółdzielcza 51.1027 17.1024
409 Roweckiego 51.0506 17.0304
410 Metalowców 51.1324 16.9578
411 Jarnołtowska_(Samotworska) 51.1201 16.8502
412 Dyrekcyjna 51.0943 17.0322
413 Zajezdnia_Obornicka 51.1487 17.0211
414 Świętokrzyska 51.1173 17.0442
415 ROD_Mieczyk 51.0641 17.0693
416 Jeleniogórska 51.1453 16.878
417 Ibn_Siny_Avicenny 51.0883 16.9524
418 Poświęcka 51.156 17.0337
419 Białych_Goździków 51.1568 17.1009
420 SIECHNICE_-_OSIEDLE 51.0262 17.1546
421 Urząd_Wojewódzki 51.1099 17.0477
422 Ożynowa 51.0644 17.0095
423 Tramwajowa 51.1045 17.0847
424 Borowa_-_Stacja_PKP 51.1855 17.2801
425 Rakowiecka 51.0972 17.0682
426 KSIĘŻE_MAŁE 51.077 17.0844
427 Pasikurowice-Malinowa 51.2096 17.1037
428 TRZMIELOWICKA_(Stacja_kolejowa) 51.1427 16.8625
429 Damrota 51.1265 17.0549
430 Irysowa 51.1514 17.0174
431 Na_Ostatnim_Groszu 51.1234 16.9765
432 POLANOWICE 51.1625 17.046
433 Wolska 51.1467 16.8694
434 Opatowicka_nr_127 51.0919 17.133
435 Śliwice 51.1291 17.2131
436 Chińska 51.0609 17.0818
437 Rdestowa 51.1113 16.8881
438 LIPA_PIOTROWSKA 51.1731 16.9947
439 Siechnice_-_ZOZ 51.0373 17.1377
440 Na_Niskich_Łąkach 51.0971 17.0554
441 Tymiankowa 51.1766 16.9916
442 Mydlice_I 51.1612 17.2778
443 Zębice_-_Trzech_Lip/Prusa 51.0031 17.1564
444 Brodzka 51.1569 16.923
445 most_Milenijny 51.1359 16.9984
446 Hala_Stulecia 51.107 17.0728
447 RĘDZIN 51.1661 16.9667
448 Kurpiów 51.0547 17.0269
449 Kępa 51.2386 17.2092
450 pl._Wróblewskiego 51.1053 17.0481
451 Lubelska 51.1639 16.9191
452 Brzezina_-_Osiedle 51.1923 16.8335
453 Kamień_I 51.1685 17.2135
454 Jarnołtowska_(Samotworska) 51.1202 16.8499
455 Raków_-_zakład 51.1645 17.2725
456 Gąsiorowskiego 51.1442 17.04
457 Kiełczów_-_WODROL 51.1349 17.1756
458 Kleczkowska 51.1267 17.0279
459 Przebiśniegowa 51.1725 17.1133
460 Rynek 51.111 17.027
461 Szczecińska 51.1225 16.931
462 Mikołowska 51.1112 17.1368
463 PRACZE_ODRZAŃSKIE 51.1747 16.9066
464 KROMERA 51.132 17.0659
465 Na_Grobli 51.1015 17.0674
466 PARK_POŁUDNIOWY 51.0726 17.0107
467 KUŹNIKI_(Stacja_kolejowa) 51.1262 16.9551
468 Bystrzycka 51.124 16.959
469 Wiaduktowa 51.0755 17.0761
470 Piramowicza 51.103 17.097
471 Topolowa 51.0695 17.0804
472 Szczepin 51.1176 17.0065
473 Świdnicka 51.1073 17.0329
474 Wyścigowa 51.0697 17.0121
475 most_Osobowicki 51.1332 17.0264
476 Psie_Pole_(Rondo_Lotników_Polskich) 51.1478 17.1149
477 Kiełczów_-_Rzeczna 51.1299 17.1748
478 Ślęza_(ul._Dębowa) 51.0386 16.9863
479 Górnickiego 51.1162 17.055
480 C.H._Korona 51.1418 17.0933
481 Na_Niskich_Łąkach 51.0973 17.0555
482 Sosnowiecka 51.0709 17.0913
483 Smardzów_-_Reja 51.0274 17.0831
484 OSOBOWICKA_(Cmentarz_II) 51.1345 17.011
485 BIERUTOWSKA_(Wiadukt) 51.1585 17.1477
486 Brzezia_Łąka_-_Główna 51.1229 17.2615
487 pl._Nowy_Targ 51.1104 17.039
488 STABŁOWICKA_(Ośrodek_zdrowia) 51.1668 16.8986
489 Oleśniczka 51.1466 17.2806
490 Kamienna 51.0849 17.0484
491 KOLBUSZOWSKA_(Stadion) 51.094 16.9969
492 Witkowska 51.1477 16.9885
493 PILCZYCE 51.1363 16.9499
494 Azaliowa 51.1642 17.1119
495 Daszyńskiego 51.1263 17.0478
496 Grabiszyńska 51.1023 17.0123
497 PL._JANA_PAWŁA_II 51.1127 17.0206
498 Hotel_Wrocław 51.0975 17.0252
499 NOWY_DWÓR_(pętla) 51.1194 16.9516
500 KRZYKI 51.0749 17.0062
501 Kosmonautów_(Nowe_Żerniki) 51.1392 16.9269
502 pl._Orląt_Lwowskich 51.1078 17.0222
503 Św._Katarzyna_-_Główna_n_ż 51.0319 17.1253
504 PARK_POŁUDNIOWY 51.0727 17.0145
505 Łużycka 51.1361 17.0166
506 Pisarzowice_-_Odrzańska 51.2051 16.8525
507 Parafialna 51.0632 17.0322
508 Kowalska_I 51.1267 17.1156
509 Januszkowice_-_Wierzbowa 51.2239 17.2382
510 BRZEZINA_(pętla) 51.2032 16.8265
511 Chłodna 51.0751 16.9967
512 Wiejska 51.0782 16.9641
513 OSOBOWICKA_(Cmentarz_II) 51.1345 17.0112
514 Kleczkowska 51.1267 17.0276
